SerialNo,ScanDate,Ticker,Status,Strategy,EntryDate,Entry,StopLoss,Target,ExitDate,Exit,Outcome,Return,Return%,Taken,LegLow,LegHigh,BaseLow,BaseHigh,CurrentPrice
1,2026-08-03,ACE.NS,Open,Impulse leg +23.1% from 2026-06-03 (Rs850.50) to 2026-06-23 (Rs1047.00). Pulled back to 43.3% fib zone on 2026-07-14 (Rs962.00). Base formed 2026-07-14 to 2026-07-21 (Rs962.00-Rs1081.80). Breakout confirmed 2026-08-03 at Rs1105.40 with volume above 20-day avg.,2026-08-04,1110.9,962.0,1301.9,,,,-12.3,-1.11,Yes,850.5,1047.0,962.0,1081.8,1098.6
2,2026-08-03,CHOLAFIN.NS,Open,Impulse leg +29.4% from 2026-06-11 (Rs1448.73) to 2026-07-07 (Rs1874.26). Pulled back to 50.3% fib zone on 2026-07-24 (Rs1660.40). Base formed 2026-07-24 to 2026-07-31 (Rs1660.40-Rs1863.10). Breakout confirmed 2026-08-03 at Rs1888.20 with volume above 20-day avg.,2026-08-04,1888.2,1660.4,2313.73,,,,-13.2,-0.7,Yes,1448.73,1874.26,1660.4,1863.1,1875.0
3,2026-08-03,FSL.NS,Open,Impulse leg +20.6% from 2026-06-30 (Rs227.20) to 2026-07-14 (Rs274.01). Pulled back to 48.9% fib zone on 2026-07-24 (Rs251.10). Base formed 2026-07-24 to 2026-07-31 (Rs251.10-Rs304.10). Breakout confirmed 2026-08-03 at Rs324.35 with volume above 20-day avg.,2026-08-04,324.35,251.1,371.16,,,,6.35,1.96,Yes,227.2,274.01,251.1,304.1,330.7
4,2026-08-03,LTM.NS,Open,Impulse leg +20.2% from 2026-06-30 (Rs3528.00) to 2026-07-13 (Rs4239.80). Pulled back to 45.8% fib zone on 2026-07-23 (Rs3913.80). Base formed 2026-07-23 to 2026-07-30 (Rs3913.80-Rs4518.70). Breakout confirmed 2026-08-03 at Rs4690.00 with volume above 20-day avg.,2026-08-04,4690.0,3913.8,5401.8,,,,-131.0,-2.79,Yes,3528.0,4239.8,3913.8,4518.7,4559.0
5,2026-08-04,ATHERENERG.NS,Pending,Impulse leg +41.5% from 2026-06-18 (Rs950.35) to 2026-07-16 (Rs1345.00). Pulled back to 39.8% fib zone on 2026-07-24 (Rs1188.10). Base formed 2026-07-24 to 2026-07-31 (Rs1188.10-Rs1274.60). Breakout confirmed 2026-08-04 at Rs1450.40 with volume above 20-day avg.,,,1188.1,1845.05,,,,,,No,950.35,1345.0,1188.1,1274.6,
